doc_id,state,source_path,time_sec,py_peak_mem_mb,rss_before_mb,rss_after_mb,rss_delta_mb,had_error
California/110292023,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\110292023.txt,2.9327126001007855,0.11171722412109375,105.7578125,105.7578125,0.0,False
California/111102021,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\111102021.txt,2.514868800062686,0.04502391815185547,105.76171875,105.76171875,0.0,False
California/11182021,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\11182021.txt,3.808336300076917,0.18879985809326172,105.76171875,105.76171875,0.0,False
California/11212021,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\11212021.txt,2.760911599965766,0.09679985046386719,105.76171875,105.76171875,0.0,False
California/112122022,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\112122022.txt,2.8417907000984997,0.0815887451171875,105.76171875,105.7734375,0.01171875,False
California/1282023 (1),California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1282023 (1).txt,3.244582600193098,0.12280941009521484,105.7734375,105.7734375,0.0,False
California/1282023,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1282023.txt,3.1725306001026183,0.12276840209960938,105.7734375,105.7734375,0.0,False
California/13112022,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\13112022.txt,2.7507759002037346,0.0918722152709961,105.7734375,105.77734375,0.00390625,False
California/13142023,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\13142023.txt,3.1326272999867797,0.11309146881103516,105.77734375,105.77734375,0.0,False
California/13212022,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\13212022.txt,3.2242602999322116,0.12086009979248047,105.77734375,105.7890625,0.01171875,False
California/1352021,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1352021.txt,3.307156899943948,0.1328420639038086,105.7890625,105.8046875,0.015625,False
California/1392021,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1392021.txt,2.984625699929893,0.13000774383544922,105.8046875,105.8046875,0.0,False
California/1392022,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1392022.txt,2.8858058999758214,0.11501121520996094,105.8046875,105.8046875,0.0,False
California/14182022,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\14182022.txt,2.917637800099328,0.10967445373535156,105.8046875,105.8046875,0.0,False
California/14212023,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\14212023.txt,2.804390799952671,0.0962066650390625,105.8046875,105.8046875,0.0,False
California/14282021,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\14282021.txt,3.128662000177428,0.14484691619873047,105.8046875,105.8046875,0.0,False
California/15272022,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\15272022.txt,3.2238749999087304,0.14551830291748047,105.8046875,105.8046875,0.0,False
California/1692022,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1692022.txt,3.2180725000798702,0.1336669921875,105.8046875,105.8046875,0.0,False
California/18122021,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\18122021.txt,3.3104924999643117,0.16835594177246094,105.8046875,105.8046875,0.0,False
California/1962022,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1962022.txt,3.6862908999901265,0.1945972442626953,105.8046875,105.8046875,0.0,False
California/1April10 ( CA - China Provinces),California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1April10 ( CA - China Provinces).txt,3.2390433000400662,0.051540374755859375,105.80859375,105.80859375,0.0,False
California/1April14,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1April14.txt,2.5163140001241118,0.04056835174560547,105.80859375,105.80859375,0.0,False
California/1April15,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1April15.txt,2.8135655999649316,0.039867401123046875,105.80859375,105.80859375,0.0,False
California/1April17,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1April17.txt,2.472193199908361,0.04144573211669922,105.80859375,105.80859375,0.0,False
